종목코드,종목명,운용사,수익률,총 보수
470310,UNICORN 생성형AI강소기업액티브,현대자산운용,-2.95,0.5
487920,ACE 인도시장대표BIG5그룹액티브,한국투자신탁운용,-3.02,0.45
458250,TIGER 미국30년국채스트립액티브(합성 H),미래에셋자산운용,-3.08,0.15
476260,HANARO 반도체핵심공정주도주,엔에이치아문디자산운용,-3.22,0.45
0008T0,SOL 화장품TOP3플러스,신한자산운용,-3.26,0.45
407820,에셋플러스 코리아플랫폼액티브,에셋플러스자산운용,-3.32,0.975
230480,KIWOOM 미국달러선물인버스2X,키움투자자산운용,-3.46,0.64
205720,ACE 일본TOPIX인버스(합성 H),한국투자신탁운용,-3.53,0.5
471760,TIGER AI반도체핵심공정,미래에셋자산운용,-3.55,0.45
409810,KODEX 미국나스닥100선물인버스(H),삼성자산운용,-3.6,0.3
261120,TIGER 미국달러선물인버스2X,미래에셋자산운용,-3.69,0.05
452250,ACE 미국30년국채선물레버리지(합성 H),한국투자신탁운용,-3.87,0.25
261260,KODEX 미국달러선물인버스2X,삼성자산운용,-3.87,0.45
491630,RISE 미국반도체인버스(합성 H),케이비자산운용,-3.92,0.49
395280,HANARO Fn K-게임,엔에이치아문디자산운용,-4.16,0.45
445290,KODEX 로봇액티브,삼성자산운용,-4.27,0.5
400970,TIGER Fn메타버스,미래에셋자산운용,-4.27,0.45
236350,TIGER 인도니프티50레버리지(합성),미래에셋자산운용,-4.27,0.58
225030,TIGER 미국S&P500선물인버스(H),미래에셋자산운용,-4.28,0.59
488210,KIWOOM K-반도체북미공급망,키움투자자산운용,-4.31,0.49
300950,KODEX 게임산업,삼성자산운용,-4.34,0.45
102970,KODEX 증권,삼성자산운용,-4.36,0.45
252410,RISE 200선물인버스,케이비자산운용,-4.39,0.6
291680,RISE 차이나H선물인버스(H),케이비자산운용,-4.4,0.6
157500,TIGER 증권,미래에셋자산운용,-4.41,0.4
253240,KIWOOM 200선물인버스,키움투자자산운용,-4.44,0.46
145670,ACE 인버스,한국투자신탁운용,-4.5,0.15
098560,TIGER 방송통신,미래에셋자산운용,-4.51,0.46
469790,KIWOOM K-테크TOP10,키움투자자산운용,-4.55,0.39
422260,VITA MZ소비액티브,한국투자밸류자산운용,-4.58,0.6
306520,HANARO 200선물인버스,엔에이치아문디자산운용,-4.61,0.45
114800,KODEX 인버스,삼성자산운용,-4.66,0.64
123310,TIGER 인버스,미래에셋자산운용,-4.67,0.022
388280,RISE 컨택트대표,케이비자산운용,-4.77,0.45
453820,KODEX 인도Nifty50레버리지(합성),삼성자산운용,-4.81,0.39
300610,TIGER K게임,미래에셋자산운용,-5.05,0.5
401170,RISE 메타버스,케이비자산운용,-5.22,0.45
139220,TIGER 200 건설,미래에셋자산운용,-5.45,0.4
315270,TIGER 200커뮤니케이션서비스,미래에셋자산운용,-5.56,0.4
300640,RISE 게임테마,케이비자산운용,-5.57,0.3
477730,KODEX 인도타타그룹,삼성자산운용,-5.69,0.45
494220,UNICORN SK하이닉스밸류체인액티브,현대자산운용,-5.95,0.5
322400,HANARO e커머스,엔에이치아문디자산운용,-6.0,0.45
217780,TIGER 차이나CSI300인버스(합성),미래에셋자산운용,-6.0,0.58
301410,PLUS 코스닥150선물인버스,한화자산운용,-6.04,0.29
250780,TIGER 코스닥150선물인버스,미래에셋자산운용,-6.12,0.32
465620,ACE 미국빅테크TOP7 Plus인버스(합성),한국투자신탁운용,-6.22,0.6
275750,RISE 코스닥150선물인버스,케이비자산운용,-6.27,0.6
291620,KIWOOM 코스닥150선물인버스,키움투자자산운용,-6.29,0.09
251340,KODEX 코스닥150선물인버스,삼성자산운용,-6.32,0.64
157490,TIGER 소프트웨어,미래에셋자산운용,-6.91,0.4
410870,TIMEFOLIO K컬처액티브,타임폴리오자산운용,-6.95,0.8
481200,SOL 미국테크TOP10인버스(합성),신한자산운용,-7.25,0.05
117700,KODEX 건설,삼성자산운용,-7.44,0.45
401470,KODEX 메타버스액티브,삼성자산운용,-7.93,0.5
427120,RISE 플랫폼테마,케이비자산운용,-8.12,0.45
266360,KODEX K콘텐츠,삼성자산운용,-8.43,0.45
252420,RISE 200선물인버스2X,케이비자산운용,-9.17,0.6
253160,PLUS 200선물인버스2X,한화자산운용,-9.32,0.06
252670,KODEX 200선물인버스2X,삼성자산운용,-9.33,0.64
252710,TIGER 200선물인버스2X,미래에셋자산운용,-9.44,0.022
253230,KIWOOM 200선물인버스2X,키움투자자산운용,-9.82,0.46
469070,RISE AI&로봇,케이비자산운용,-9.96,0.4
334700,RISE 팔라듐선물인버스(H),케이비자산운용,-10.1,0.6
395150,KODEX 웹툰&드라마,삼성자산운용,-10.2,0.45
475050,ACE KPOP포커스,한국투자신탁운용,-11.42,0.3
395290,HANARO Fn K-POP&미디어,엔에이치아문디자산운용,-11.69,0.45
228810,TIGER 미디어컨텐츠,미래에셋자산운용,-13.7,0.44
465350,RISE 2차전지TOP10인버스(합성),케이비자산운용,-16.84,0.49
0053M0,더제이 중소형포커스액티브,더제이자산운용,0.0,0.685
0078V0,PLUS 미국로보택시,한화자산운용,0.0,0.49
0080X0,SOL 미국S&P500미국채혼합50,신한자산운용,0.0,0.15
0080Y0,SOL 조선TOP3플러스레버리지,신한자산운용,0.0,0.5
0079X0,ACE BYD밸류체인액티브,한국투자신탁운용,0.0,0.45
0082V0,KODEX TDF2060액티브,삼성자산운용,0.0,0.3
0073X0,FOCUS 알리바바미국채커버드콜혼합,브이아이자산운용,0.0,0.36
0084D0,KIWOOM 미국테크100월간목표헤지액티브,키움투자자산운용,0.0,0.49
0085P0,ACE 미국10년국채액티브,한국투자신탁운용,0.0,0.15
0085N0,ACE 미국10년국채액티브(H),한국투자신탁운용,0.0,0.15
0080G0,KODEX K방산TOP10,삼성자산운용,0.0,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,삼성액티브자산운용,0.0,0.5
0083S0,1Q 미국메디컬AI,하나자산운용,0.0,0.49
