종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
0049M0,ACE 미국배당퀄리티+커버드콜액티브,한국투자신탁운용,16853.0,669.0,65244,0.1
130680,TIGER 원유선물Enhanced(H),미래에셋자산운용,16706.0,624.0,142922,0.07
0047R0,RISE 팔란티어고정테크100,케이비자산운용,16681.0,2456.0,221695,4.17
341850,TIGER 리츠부동산인프라채권,미래에셋자산운용,16657.0,22.0,4691,0.0
140950,파워 코스피100,교보악사자산운용,16616.0,88.0,2783,0.0
261140,TIGER 우선주,미래에셋자산운용,16514.0,1142.0,81546,0.12
498860,RISE 코리아금융고배당,케이비자산운용,16362.0,3161.0,219487,0.2
440650,ACE 미국달러단기채권액티브,한국투자신탁운용,16354.0,335.0,29279,0.09
459750,RISE 글로벌주식분산액티브,케이비자산운용,16339.0,236.0,16460,0.0
451600,PLUS 국고채30년액티브,한화자산운용,16327.0,13.0,116,0.0
385520,KODEX 자율주행액티브,삼성자산운용,16279.0,103.0,13119,0.0
354350,HANARO 글로벌럭셔리S&P(합성),엔에이치아문디자산운용,16227.0,53.0,2712,0.0
290080,RISE 200고배당커버드콜ATM,케이비자산운용,16188.0,228.0,23672,0.07
239660,PLUS 우량회사채50,한화자산운용,16168.0,123.0,1018,0.03
354240,RISE 미국고정배당우선증권,케이비자산운용,15976.0,92.0,8358,0.0
422260,VITA MZ소비액티브,한국투자밸류자산운용,15904.0,338.0,30649,0.17
280320,ACE 미국IT인터넷S&P(합성 H),한국투자신탁운용,15831.0,9.0,436,0.0
494220,UNICORN SK하이닉스밸류체인액티브,현대자산운용,15696.0,2036.0,161626,0.18
250780,TIGER 코스닥150선물인버스,미래에셋자산운용,15694.0,975.0,269160,2.17
472350,1Q 차이나H(H),하나자산운용,15459.0,16.0,999,0.0
0036D0,TIMEFOLIO 미국배당다우존스액티브,타임폴리오자산운용,15412.0,2120.0,209253,0.64
277540,ACE 아시아TOP50S&P,한국투자신탁운용,15348.0,93.0,5069,0.08
219390,RISE 미국S&P원유생산기업(합성 H),케이비자산운용,15342.0,542.0,93005,0.17
417630,TIGER KEDI혁신기업ESG30,미래에셋자산운용,15242.0,168.0,14455,0.0
381560,HANARO Fn전기&수소차,엔에이치아문디자산운용,15223.0,58.0,7641,0.0
448630,RISE 삼성그룹Top3채권혼합,케이비자산운용,15206.0,242.0,24364,0.03
266410,KODEX 필수소비재,삼성자산운용,15176.0,519.0,61973,0.15
415340,KODEX 차이나과창판STAR50(합성),삼성자산운용,15150.0,84.0,10921,0.07
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),케이비자산운용,15134.0,246.0,28064,0.09
474920,에셋플러스 차이나일등기업포커스10액티브,에셋플러스자산운용,15087.0,60.0,3936,0.0
183700,RISE 채권혼합,케이비자산운용,14985.0,24.0,364,0.0
284980,RISE 200금융,케이비자산운용,14927.0,1511.0,97233,0.16
396510,TIGER 차이나클린에너지SOLACTIVE,미래에셋자산운용,14899.0,45.0,8129,0.98
304770,HANARO 코스닥150,엔에이치아문디자산운용,14834.0,113.0,8702,0.01
469160,ACE 일본반도체,한국투자신탁운용,14654.0,629.0,52852,0.0
223190,KODEX 200가치저변동,삼성자산운용,14653.0,123.0,9091,0.0
0049K0,ACE 미국배당퀄리티채권혼합50,한국투자신탁운용,14647.0,182.0,17805,0.06
316670,KIWOOM 코스닥150,키움투자자산운용,14645.0,95.0,14847,0.01
440340,TIGER 글로벌멀티에셋TIF액티브,미래에셋자산운용,14605.0,54.0,4942,0.12
300610,TIGER K게임,미래에셋자산운용,14564.0,297.0,38255,0.04
475310,SOL 반도체후공정,신한자산운용,14494.0,1104.0,96741,0.16
467620,KIWOOM 25-09 미국채권(AA-이상)액티브,키움투자자산운용,14412.0,144.0,2669,0.07
337140,KODEX 코스피대형주,삼성자산운용,14277.0,204.0,13604,0.01
241390,RISE V&S셀렉트밸류채권혼합,케이비자산운용,14273.0,63.0,5064,0.0
494180,TIMEFOLIO 글로벌소비트렌드액티브,타임폴리오자산운용,14124.0,43.0,3850,0.11
0040X0,SOL 팔란티어미국채커버드콜혼합,신한자산운용,14076.0,1996.0,186578,0.06
147970,TIGER 모멘텀,미래에셋자산운용,14027.0,1204.0,27101,0.08
428560,KODEX 미국ETF산업Top10 Indxx,삼성자산운용,14002.0,144.0,8312,0.0
253290,RISE 헬스케어채권혼합,케이비자산운용,13998.0,124.0,10177,0.0
460660,RISE 미국S&P배당킹,케이비자산운용,13959.0,87.0,8328,0.0
496130,TRUSTON 코리아밸류업액티브,트러스톤자산운용,13912.0,58.0,4432,0.0
225800,KIWOOM 미국달러선물레버리지,키움투자자산운용,13842.0,99.0,6931,0.0
448100,WON 200,우리자산운용,13834.0,182.0,4195,0.0
463640,KODEX 미국S&P500유틸리티,삼성자산운용,13758.0,46.0,3554,0.0
469060,RISE 미국반도체NYSE,케이비자산운용,13756.0,393.0,24679,0.02
371150,RISE 차이나항셍테크,케이비자산운용,13678.0,347.0,42657,3.3
494340,ACE 글로벌AI맞춤형반도체,한국투자신탁운용,13634.0,150.0,13005,0.0
102960,KODEX 기계장비,삼성자산운용,13573.0,402.0,38559,0.12
